id,predict_0,predict_1,predict_2
    2,0.87612258097873574325,0.1076819608074,0.0161954582139
    3,0.58684779055557356742,0.3409532998857,0.0721989095587
    4,0.87394268209293179961,0.1095457545767,0.0165115633303
    7,0.23082809812302906849,0.5329651557538,0.2362067461231
    9,0.16484287188216972808,0.5329693243081,0.3021878038098
   10,0.85002977181462335832,0.1299108532394,0.0200593749460
   11,0.82507818756211581679,0.1509963350104,0.0239254774275
   12,0.81300150779647251120,0.1611381342329,0.0258603579706
   14,0.82213542703658193389,0.1534715440844,0.0243930288790
   15,0.85600566775865782887,0.1248355958493,0.0191587363921
   16,0.55612172741293952605,0.3633993282563,0.0804789443307
   17,0.61776705976326251601,0.3177763760493,0.0644565641875
   18,0.96565811592089256798,0.0301741148995,0.0041677691796
   21,0.18806199371647069896,0.5357538753425,0.2761841309410
   22,0.92866813815184956482,0.0624108492861,0.0089210125621
   25,0.80340831698246129022,0.1691634301688,0.0274282528488
   30,0.86243773176896199040,0.1193623652267,0.0181999030043
   32,0.70062258596962001533,0.2532065741582,0.0461708398722
   34,0.79669048240220585733,0.1747665780138,0.0285429395840
   35,0.59972638628163599250,0.3313676475037,0.0689059662146
   36,0.83516307703564740539,0.1424949512429,0.0223419717215
   37,0.74279894507547505889,0.2191816322652,0.0380194226593
   39,0.79332812700453492205,0.1775657452128,0.0291061277827
   40,0.33222458274643063003,0.5000108599430,0.1677645573106
   41,0.82230713275397637751,0.1533271882066,0.0243656790394
   42,0.34023343274960216043,0.4963177768723,0.1634487903781
   45,0.35875278189670189999,0.4873158358790,0.1539313822243
   46,0.87786667114504290943,0.1061899212813,0.0159434075736
   47,0.65978816751515334538,0.2854404006805,0.0547714318043
   48,0.28344035517510257627,0.5194676607027,0.1970919841222
   50,0.37095916201152812075,0.4810546263954,0.1479862115930
   51,0.33128059995441794250,0.5004377711935,0.1682816288521
   52,0.95845329294872549930,0.0364753235136,0.0050713835376
   56,0.81172765382868850015,0.1622053872465,0.0260669589248
   58,0.71104868487978023506,0.2448609771747,0.0440903379455
   62,0.94434511749554028714,0.0487833632011,0.0068715193033
   63,0.93276575948191808862,0.0588540265951,0.0083802139229
   65,0.10110597896587258937,0.5003011339827,0.3985928870514
   66,0.36083648471963480908,0.4862647460504,0.1528987692300
   70,0.34946525685523133209,0.4919083597354,0.1586263834094
   71,0.85222565204015332530,0.1280470261973,0.0197273217626
   72,0.29657781276871542087,0.5147900668070,0.1886321204243
   73,0.92244086163435889958,0.0678092110694,0.0097499272963
   74,0.67698043363759219382,0.2719602764003,0.0510592899621
   76,0.85841383348180466673,0.1227876893931,0.0187984771251
   77,0.38983917004007806462,0.4709017292012,0.1392591007587
   78,0.00471630093190267274,0.1683037365290,0.8269799625391
   82,0.49561229914229931737,0.4056022796386,0.0987854212191
   85,0.29527379975850409632,0.5152743733074,0.1894518269341
   86,0.92973294269008399660,0.0614869280148,0.0087801292951
   87,0.64017619494693656090,0.3006448159701,0.0591789890830
   95,0.99968332052802166832,0.0002792646559,0.0000374148161
   96,0.07336023263602986511,0.4666161357742,0.4600236315898
   97,0.61367888255406277676,0.3208724571767,0.0654486602693
   98,0.88574605724242083671,0.0994398295065,0.0148141132510
  100,0.87774695750079811951,0.1062923585761,0.0159606839231
  101,0.81262546040165206662,0.1614532424912,0.0259212971072
  102,0.85600566775865782887,0.1248355958493,0.0191587363921
  103,0.74844660968530929424,0.2145741095531,0.0369792807615
  106,0.29193317134744412034,0.5164953275319,0.1915715011207
  108,0.81992718959468013917,0.1553272816025,0.0247455288028
  109,0.74279894507547505889,0.2191816322652,0.0380194226593
  110,0.74279894507547505889,0.2191816322652,0.0380194226593
  113,0.52760988863477276123,0.3836421727120,0.0887479386533
  114,0.94012331621177658292,0.0524584092233,0.0074182745650
  116,0.87252600184556083907,0.1107563613315,0.0167176368229
  117,0.59901833964855633052,0.3318972352879,0.0690844250635
  118,0.45157916407856835139,0.4343053225256,0.1141155133958
  121,0.93897893898655970801,0.0534539298315,0.0075671311819
